ai,愛
akane,茜
akemi,明美
aoi,葵
asami,麻美
asuka,明日香
ayaka,彩香
ayaka,彩花
ayano,彩乃
ayano,彩
ayumi,あゆみ
chihiro,千尋
chinatsu,千夏
emi,絵美
emi,恵美
emiko,恵美子
etsuko,悦子
haruka,遥
hiroko,弘子
hitomi,瞳
junko,順子
junko,純子
kaedde,楓
kana,佳奈
kaori,香織
katsuko,勝子
kazuko,和子
keiko,恵子
keiko,啓子
kumiko,久美子
kyouko,京子
mai,麻衣
mai,舞
maiko,麻衣子
manami,愛美
mayu,真由
mayumi,真由美
megumi,恵
megumi,めぐみ
michiko,美智子
miho,美穂
mika,美香
miki,美紀
mirai,未来
misaki,美咲
miyoko,美代子
moe,萌
momoko,桃子
nana,奈々
nanami,七海
naoko,直子
naomi,直美
narumi,成美
natsumi,菜摘
nobuko,信子
noriko,典子
reina,玲奈
rie,理恵
rina,里奈
sachiko,幸子
saki,早紀
saori,沙織
setsuko,節子
tomoko,智子
tomomi,智美
tomomi,友美
yoko,洋子
yoko,陽子
yuka,優花
yukari,ゆかり
yuko,裕子
yuko,優子
yumi,裕美
yumi,由美
yumiko,由美子
